age,gender,city_tier,education,occupation,income_band,plan_type,monthly_charge,tenure_months,contract_type,auto_renew,payment_method,logins_per_month,avg_session_minutes,features_used_count,mobile_app_usage_pct,support_tickets_raised,support_tickets_resolved,nps_score,last_login_days_ago,referrals_made,late_payments_count,payment_failures,total_spend_12m,discount_used_count,upgrade_downgrade_count,product_rating,onboarding_completed,tutorial_completed,days_to_first_value,competitor_product_used,promo_sensitivity,churned
28,M,tier2,school,homemaker,medium,basic,265.0,15,monthly,0,credit_card,11,15.8,6,57.6,1,0,7.0,120,6,5,3,2743.23,1,0,4.1,1,1,8.0,0,high,1
43,M,tier1,school,salaried,low,premium,674.39,37,monthly,0,credit_card,8,20.6,13,72.8,0,0,0.0,90,3,0,2,7973.96,2,1,3.2,1,1,7.0,1,medium,1
70,F,tier3,graduate,salaried,medium,basic,255.58,57,annual,1,net_banking,16,4.0,13,14.8,3,2,8.0,20,3,3,2,3009.79,4,2,4.3,1,1,25.0,0,medium,0
55,M,tier1,graduate,salaried,medium,basic,376.9,28,monthly,1,upi,9,8.1,19,69.4,10,7,4.0,152,3,0,2,3643.12,4,2,1.9,1,0,19.0,0,low,1
24,F,tier2,graduate,student,medium,basic,367.97,70,monthly,1,net_banking,9,14.1,19,48.5,5,3,2.0,177,2,3,1,4378.69,1,2,4.8,1,1,39.0,0,high,1
22,M,tier1,graduate,student,high,basic,207.43,48,annual,1,net_banking,9,16.2,11,78.2,1,0,6.0,14,0,3,2,2148.38,2,0,3.8,1,1,33.0,0,low,1
52,M,tier3,graduate,salaried,low,basic,366.47,13,monthly,1,upi,13,14.3,11,30.8,4,3,1.0,55,5,3,3,4311.02,0,2,4.6,1,0,26.0,0,low,0
58,F,tier3,graduate,self_employed,high,premium,460.58,69,annual,0,upi,11,18.9,17,51.6,0,0,4.0,62,5,2,0,4712.54,3,1,3.4,0,0,6.0,0,low,1
44,F,tier2,postgraduate,salaried,low,standard,526.13,52,monthly,0,net_banking,13,15.5,15,76.4,1,0,7.0,7,0,3,1,5838.15,4,1,2.5,1,1,40.0,0,low,0
25,M,tier1,school,self_employed,low,standard,525.3,28,annual,1,credit_card,15,27.3,19,46.8,10,8,2.0,173,2,4,3,5861.43,2,1,2.9,1,0,11.0,1,medium,1
