sku_id,snapshot_date,week_of_year,month,quarter,category,brand_tier,product_age_days,units_in_stock,units_sold_last_week,units_sold_last_4wks,units_sold_last_12wks,demand_trend,demand_volatility_cv,seasonal_index,reorder_point,safety_stock,economic_order_qty,days_of_stock_remaining,last_replenishment_days_ago,pending_order_units,supplier_id,supplier_lead_time_days,supplier_reliability_score,purchase_price,selling_price,gross_margin_pct,discount_pct,promotion_active,competitor_price_ratio,return_rate_pct,customer_rating,num_reviews,search_rank,click_through_rate_pct,conversion_rate_pct,warehouse_zone,storage_cost_per_unit_day,fulfillment_time_days,overstock_units,stockout_risk
SKU-0001,2023-01-02,1,1,1,clothing,budget,821,373,52.1,52.1,52.1,stable,0.1,1.385,160,78,607,49.4,19,0,SUP-14,11,69.8,1234.36,1604.67,23.1,11.1,1,1.129,8.8,2.9,929.0,36,1.58,6.02,C,0.537,2.3,53,0
SKU-0002,2023-01-02,1,1,1,clothing,budget,95,349,80.4,52.1,52.1,increasing,0.0,1.483,241,144,883,30.1,51,635,SUP-13,13,67.6,1320.16,1716.21,23.1,0.0,0,1.04,8.8,4.4,308.0,128,2.57,4.21,C,0.266,2.8,0,1
SKU-0003,2023-01-02,1,1,1,food,premium,388,1094,53.4,66.3,66.3,decreasing,0.213,1.435,479,261,651,141.6,4,0,SUP-07,23,89.7,581.24,1133.42,48.7,9.2,1,1.054,2.7,,355.0,97,1.37,2.81,B,0.274,2.8,136,1
SKU-0004,2023-01-02,1,1,1,clothing,mid,1014,132,31.9,62.0,62.0,decreasing,0.21,1.414,51,24,585,28.4,38,0,SUP-12,3,72.0,625.39,969.35,35.5,0.0,0,0.991,2.0,3.8,1009.0,151,5.84,0.63,B,0.345,2.7,30,0
SKU-0005,2023-01-02,1,1,1,clothing,mid,1046,335,56.6,54.4,54.4,stable,0.317,1.372,336,180,432,40.9,53,0,SUP-04,20,87.7,619.12,959.64,35.5,26.7,1,0.816,3.3,4.2,36.0,183,0.68,2.43,C,0.555,2.4,0,1
SKU-0006,2023-01-02,1,1,1,books,mid,861,476,14.8,55.6,54.9,decreasing,0.282,1.465,181,102,623,214.8,52,389,SUP-07,10,63.8,488.08,756.52,35.5,0.0,0,1.09,15.1,3.9,1141.0,10,2.64,3.65,B,0.209,2.9,114,1
SKU-0007,2023-01-02,1,1,1,toys,budget,486,538,37.5,39.2,48.2,decreasing,0.426,1.497,180,90,290,98.6,27,226,SUP-07,16,82.6,522.25,678.92,23.1,0.0,0,1.095,17.2,4.3,270.0,192,4.8,1.63,C,0.752,2.9,178,0
SKU-0008,2023-01-02,1,1,1,clothing,mid,913,126,23.7,35.2,46.7,decreasing,0.415,1.388,84,49,1144,36.2,42,0,SUP-08,7,90.3,1010.24,1565.87,35.5,0.0,0,0.804,10.9,3.5,487.0,24,3.1,4.89,B,0.075,0.6,0,0
SKU-0009,2023-01-02,1,1,1,books,premium,67,471,30.6,33.2,43.8,decreasing,0.449,1.126,189,99,358,105.4,22,0,SUP-15,19,71.2,370.21,721.91,48.7,14.7,1,1.246,16.6,4.3,713.0,141,3.82,5.28,B,0.291,2.1,93,1
SKU-0010,2023-01-02,1,1,1,clothing,premium,1011,120,36.0,26.6,42.3,decreasing,0.482,1.311,46,27,1141,22.9,20,0,SUP-01,5,78.8,1298.41,2531.9,48.7,0.0,0,0.94,12.8,3.6,556.0,175,3.95,7.43,A,0.073,1.0,28,0
SKU-0011,2023-01-02,1,1,1,electronics,budget,315,383,11.3,31.9,41.7,decreasing,0.369,1.475,128,73,1371,223.7,20,0,SUP-06,12,70.8,4537.37,5898.58,23.1,0.0,0,,17.5,4.3,559.0,25,1.98,4.68,B,0.231,1.8,127,0
SKU-0012,2023-01-02,1,1,1,electronics,premium,473,85,21.9,25.4,38.9,decreasing,0.441,1.12,45,20,1683,26.3,39,908,SUP-14,7,90.4,7361.17,14354.28,48.7,25.3,1,0.9,5.8,3.5,1154.0,148,3.03,5.35,B,0.196,2.7,0,0
