date,day_of_week,month,quarter,week_of_year,hour_of_day,is_weekend,is_holiday,season,days_since_start,num_items,total_amount,avg_item_price,max_item_price,discount_pct,coupon_applied,promo_code,loyalty_points_used,loyalty_points_earned,tax_amount,net_amount,payment_method,transaction_type,receipt_issued,customer_type,customer_age_group,customer_gender,customer_tenure_days,purchase_frequency_pm,avg_basket_size_hist,customer_lifetime_value,distance_from_shop_km,referral_source,customer_segment,primary_category,num_categories_purchased,food_items_count,clothing_items_count,electronics_items_count,stationery_items_count,home_items_count,beauty_items_count,toys_items_count,perishable_pct,branded_items_pct,private_label_pct,high_margin_items_count,low_margin_items_count,items_on_promotion,staff_on_duty,cashier_experience_yrs,queue_length_at_entry,time_in_store_minutes,checkout_time_seconds,stock_replenished_today,store_footfall_today,promoter_present,weather_condition,temperature_celsius,local_event_nearby,competitor_sale_ongoing,payday_week,festival_period,school_term_active,transport_disruption,nearby_construction,social_media_promo_active,daily_revenue_so_far,daily_txn_count_so_far,daily_target_progress_pct,shop_operating_cost_daily,gross_margin_pct,inventory_value_today,cash_in_register,high_value_transaction
2022-07-01,4,7,3,26,18,0,0,summer,0,4,1154.52,288.63,383.12,14.6,1,1,427,11,207.81,986.16,card,sale,1,returning,adult,M,64,3.7,31.7,1439.0,5.22,friend,premium,clothing,5,2,4,1,1,1,2,0,50.0,28.6,65.2,2,0,0,5,3.7,3.0,62,191,0,235,0,sunny,41.2,0,0,0,0,1,0,1,0,10069.25,2,33.7,4808.0,26.9,544184.0,18056.0,0
2022-07-01,4,7,3,26,20,0,0,summer,0,12,1461.39,121.78,172.11,0.0,0,0,292,14,263.05,1461.39,upi,sale,1,returning,adult,unknown,86,1.4,123.82,2204.0,7.68,ad,regular,clothing,4,1,4,1,0,0,1,0,8.3,27.3,56.3,2,3,2,7,1.1,17.0,26,108,1,176,0,cloudy,32.7,0,0,0,0,1,0,0,0,6969.14,8,21.3,4157.0,27.2,423172.0,58173.0,1
2022-07-01,4,7,3,26,15,0,0,summer,0,13,742.95,57.15,142.44,0.0,0,0,158,7,133.73,742.95,upi,sale,1,loyal,adult,F,164,9.8,81.29,9641.0,6.98,ad,regular,food,3,6,0,0,0,0,2,1,46.2,44.6,41.6,2,1,1,4,4.5,0.0,49,67,0,214,0,sunny,32.1,0,0,0,0,1,0,1,0,18275.16,12,65.4,7153.0,32.9,315647.0,6672.0,0
2022-07-01,4,7,3,26,9,0,0,summer,0,1,3282.41,3282.41,4388.77,0.0,0,0,106,32,590.83,3282.41,upi,sale,1,vip,adult,F,1195,13.9,7.35,1234.0,3.28,friend,budget,electronics,5,0,2,2,2,0,1,1,0.0,61.1,28.6,0,6,0,7,7.6,11.0,53,145,0,258,0,stormy,36.5,0,0,0,0,1,0,1,1,27087.16,25,81.5,6237.0,11.2,636469.0,53973.0,1
2022-07-01,4,7,3,26,19,0,0,summer,0,7,1863.45,266.21,415.27,0.0,0,0,74,18,335.42,1863.45,wallet,sale,0,loyal,senior,F,297,6.3,88.73,6797.0,1.6,social,budget,clothing,5,0,2,1,2,1,2,1,0.0,48.6,43.3,1,1,0,6,7.2,5.0,63,190,0,186,0,cloudy,37.3,0,0,0,0,1,0,0,0,17831.52,44,75.1,4976.0,32.1,769587.0,52234.0,1
2022-07-01,4,7,3,26,10,0,0,summer,0,4,875.77,218.94,282.18,0.0,0,0,127,8,157.64,875.77,upi,sale,1,loyal,adult,F,344,9.3,70.2,7905.0,6.99,friend,budget,beauty,5,2,1,0,1,1,2,0,50.0,25.8,57.2,1,0,1,6,0.1,9.0,52,149,1,163,0,sunny,34.2,0,0,0,0,1,0,0,0,12013.26,34,41.4,5551.0,36.5,387030.0,56225.0,0
2022-07-01,4,7,3,26,10,0,0,summer,0,14,1045.08,74.65,127.73,14.8,1,0,0,10,188.11,889.94,cash,sale,0,new,senior,unknown,0,0.8,0.0,0.0,7.6,friend,regular,toys,4,0,2,1,1,0,0,2,0.0,49.6,31.3,2,5,0,2,9.2,3.0,16,46,1,240,0,rainy,35.6,0,0,0,0,1,0,0,1,28441.11,1,77.5,6466.0,38.8,320599.0,72508.0,0
2022-07-02,5,7,3,26,17,1,0,summer,1,11,457.83,41.62,41.62,28.0,1,0,0,4,82.41,329.7,upi,sale,0,new,senior,F,0,0.8,0.0,0.0,2.62,friend,budget,food,5,6,2,0,1,1,1,1,54.5,33.0,59.2,0,5,3,4,6.7,15.0,32,221,0,355,0,rainy,30.4,0,0,0,0,1,0,0,0,9276.8,37,33.5,6344.0,20.9,634864.0,75874.0,0
2022-07-02,5,7,3,26,16,1,0,summer,1,10,637.78,63.78,140.65,0.0,0,0,338,6,114.8,637.78,cash,sale,1,returning,adult,F,94,3.7,18.39,835.0,,friend,regular,food,4,4,0,1,0,1,0,1,40.0,79.9,8.6,1,4,2,7,1.4,14.0,55,247,0,297,0,rainy,30.4,0,0,0,0,1,1,0,0,18576.02,31,79.8,7409.0,29.9,628787.0,59980.0,1
2022-07-02,5,7,3,26,9,1,0,summer,1,4,2081.97,520.49,1209.7,0.0,0,1,318,20,374.75,2081.97,cash,sale,1,loyal,young_adult,M,166,9.1,64.08,7062.0,1.45,walk_in,budget,home,4,2,1,1,0,4,0,0,50.0,59.4,23.5,1,5,1,2,0.5,9.0,60,66,0,284,0,sunny,32.0,0,0,0,0,1,0,0,0,5240.07,49,17.2,7408.0,44.3,655853.0,14770.0,1
2022-07-02,5,7,3,26,11,1,0,summer,1,9,979.95,108.88,188.97,30.5,1,0,0,9,176.39,680.87,upi,sale,1,new,adult,M,0,0.5,0.0,0.0,6.87,search,regular,toys,5,0,1,1,2,1,2,1,0.0,37.3,50.6,4,6,3,5,0.4,1.0,35,253,1,228,0,rainy,38.1,0,0,0,0,1,0,1,0,11215.17,16,35.7,4632.0,31.1,715519.0,61478.0,1
2022-07-02,5,7,3,26,16,1,0,summer,1,17,1386.73,81.57,184.97,30.3,1,0,356,13,249.61,965.91,card,sale,1,loyal,adult,F,317,4.8,100.99,5918.0,5.56,walk_in,budget,beauty,4,0,2,1,2,0,2,0,0.0,67.2,26.5,4,3,4,2,0.4,1.0,37,186,0,224,0,sunny,33.7,0,0,0,0,1,1,0,0,24138.13,48,80.0,5585.0,25.1,486301.0,41957.0,1
2022-07-02,5,7,3,26,12,1,0,summer,1,17,503.36,29.61,29.83,0.0,0,0,0,5,90.6,503.36,wallet,sale,1,new,young_adult,F,0,1.0,0.0,0.0,9.62,friend,regular,food,5,4,2,1,1,1,0,0,23.5,27.7,53.9,1,2,1,5,3.7,,7,202,0,327,0,rainy,38.6,0,0,0,0,1,0,0,0,12613.36,1,40.8,7462.0,20.7,736959.0,40921.0,1
2022-07-03,6,7,3,26,17,1,0,summer,2,3,411.14,137.05,226.96,0.0,0,0,0,4,74.01,411.14,upi,sale,1,new,young_adult,M,0,0.1,0.0,0.0,0.54,social,regular,food,4,5,2,1,0,0,0,1,100.0,55.5,37.4,1,4,0,7,8.5,14.0,56,163,0,268,0,rainy,40.2,0,0,0,0,1,0,0,0,23780.12,5,74.6,6126.0,28.4,650940.0,76552.0,1
2022-07-03,6,7,3,26,13,1,0,summer,2,9,505.64,56.18,70.53,23.0,1,0,278,5,91.02,389.27,upi,sale,1,returning,young_adult,F,143,3.5,51.56,,9.19,search,regular,food,5,6,1,1,2,1,1,1,66.7,21.4,61.0,1,1,1,3,2.1,7.0,8,31,0,266,0,cloudy,35.9,1,0,0,0,1,0,0,0,11517.48,47,45.0,5554.0,20.5,755886.0,50993.0,0
2022-07-03,6,7,3,26,16,1,0,summer,2,13,3311.19,254.71,403.88,0.0,0,0,461,33,596.01,3311.19,cash,sale,1,loyal,adult,F,51,8.6,41.22,4295.0,7.37,walk_in,budget,home,5,3,0,1,2,4,0,1,23.1,30.1,61.2,3,7,2,4,6.4,7.0,8,254,0,251,1,rainy,37.5,0,0,0,0,1,0,0,0,10163.74,40,27.7,5860.0,21.4,438458.0,54169.0,1
2022-07-03,6,7,3,26,14,1,0,summer,2,6,4614.94,769.16,1256.09,0.0,0,0,74,46,830.69,4614.94,upi,exchange,1,loyal,adult,F,81,4.2,262.08,13471.0,0.87,friend,regular,electronics,2,1,0,3,0,0,0,0,16.7,78.9,14.0,0,2,1,4,3.0,8.0,31,154,0,296,0,sunny,,0,0,0,0,1,0,0,0,6829.98,29,19.9,4746.0,9.3,553728.0,15002.0,1
2022-07-03,6,7,3,26,13,1,0,summer,2,17,5581.65,328.33,662.66,0.0,0,0,227,55,1004.7,5581.65,card,sale,1,returning,young_adult,M,29,2.5,82.29,2551.0,3.94,friend,budget,electronics,5,3,0,3,2,1,1,1,17.6,43.8,45.1,3,7,6,8,6.2,14.0,5,104,1,313,0,cloudy,32.1,0,0,0,0,1,0,0,1,14800.75,9,50.3,7613.0,14.2,334187.0,63185.0,1
2022-07-03,6,7,3,26,13,1,0,summer,2,8,6472.18,809.02,1782.49,0.0,0,0,355,64,1164.99,6472.18,card,sale,1,loyal,adult,M,506,6.5,119.01,9402.0,7.54,social,budget,electronics,4,2,2,3,1,0,0,0,25.0,29.0,53.9,4,1,1,7,4.7,14.0,55,233,0,253,0,sunny,37.7,0,1,0,0,1,0,0,0,17055.3,42,57.4,6555.0,12.0,404204.0,14343.0,1
2022-07-03,6,7,3,26,17,1,0,summer,2,6,637.92,106.32,256.51,0.0,0,0,163,6,114.83,637.92,card,sale,1,loyal,adult,F,311,6.9,146.17,12249.0,5.31,social,regular,food,4,5,2,0,2,0,2,0,83.3,39.7,41.8,1,2,0,6,4.7,18.0,36,111,0,280,0,sunny,,1,0,0,0,1,0,0,0,17818.24,34,59.5,4994.0,41.7,406641.0,75568.0,1
2022-07-04,0,7,3,27,15,0,0,summer,3,17,4689.75,275.87,399.88,13.8,1,0,42,46,844.16,4040.35,wallet,return,1,returning,senior,F,61,1.4,4.78,85.0,9.29,walk_in,regular,electronics,5,3,0,2,1,1,1,0,17.6,66.4,26.9,2,7,3,8,7.4,16.0,54,255,0,215,0,sunny,31.4,0,0,0,0,1,0,0,0,20830.41,10,64.6,6900.0,14.2,396981.0,8555.0,1
2022-07-04,0,7,3,27,16,0,0,summer,3,11,679.07,61.73,125.55,0.0,0,0,93,6,122.23,679.07,card,sale,1,loyal,young_adult,F,107,4.8,67.2,3938.0,2.19,social,budget,food,4,6,0,1,1,0,2,0,54.5,57.6,36.3,0,3,3,3,5.0,15.0,61,197,0,181,0,sunny,41.1,0,0,0,0,1,0,0,0,14500.39,28,62.2,6598.0,21.4,787931.0,6883.0,1
2022-07-04,0,7,3,27,15,0,0,summer,3,2,180.72,90.36,203.87,0.0,0,0,0,1,32.53,180.72,upi,sale,1,new,young_adult,M,0,0.6,0.0,0.0,9.48,walk_in,budget,stationery,4,2,0,0,5,1,2,0,100.0,22.4,69.1,0,1,0,2,2.8,12.0,56,206,0,177,0,cloudy,37.7,0,0,0,0,1,1,0,0,30796.56,19,84.5,7931.0,20.4,792643.0,37644.0,0
2022-07-04,0,7,3,27,11,0,0,summer,3,2,256.13,128.06,204.9,12.8,1,0,132,2,46.1,223.35,upi,sale,1,returning,young_adult,M,123,2.2,26.39,723.0,2.61,walk_in,premium,stationery,5,1,1,1,2,0,2,0,50.0,58.2,26.6,1,0,0,8,0.3,19.0,22,125,0,175,1,sunny,34.1,0,0,0,0,1,0,0,0,13093.45,42,51.1,5808.0,33.1,442373.0,77403.0,0
2022-07-04,0,7,3,27,19,0,0,summer,3,17,439.93,25.88,47.65,0.0,0,0,0,4,79.19,439.93,cash,sale,1,new,adult,unknown,0,0.2,0.0,0.0,8.08,social,budget,stationery,4,0,2,0,4,0,2,1,0.0,76.4,12.5,4,5,6,3,9.8,4.0,59,281,0,172,1,cloudy,30.2,0,0,0,0,1,0,0,0,4044.94,35,18.8,5190.0,41.9,527608.0,43373.0,1
2022-07-04,0,7,3,27,15,0,0,summer,3,11,1745.83,158.71,322.2,0.0,0,0,394,17,314.25,1745.83,card,sale,1,returning,young_adult,M,94,3.8,53.33,2485.0,2.28,walk_in,premium,clothing,5,1,2,1,2,0,0,1,9.1,49.3,32.9,2,2,2,7,5.6,2.0,59,193,0,198,0,cloudy,33.8,0,0,0,0,1,0,0,1,4686.19,30,17.7,6641.0,39.1,530544.0,59165.0,1
2022-07-04,0,7,3,27,17,0,0,summer,3,15,2171.81,144.79,161.94,0.0,0,0,312,21,390.93,2171.81,cash,sale,1,returning,young_adult,F,113,1.0,,1369.0,9.3,walk_in,budget,home,5,0,2,1,1,2,1,1,0.0,21.6,65.4,1,3,5,4,8.4,1.0,35,119,0,212,0,sunny,30.6,0,0,0,0,1,0,0,0,10482.24,7,41.6,4183.0,29.9,290908.0,32646.0,1
2022-07-04,0,7,3,27,19,0,0,summer,3,17,318.57,18.74,36.21,32.0,1,1,0,3,57.34,216.69,cash,exchange,1,new,adult,M,0,0.4,0.0,0.0,0.17,social,regular,stationery,4,1,2,0,5,0,1,0,5.9,27.4,65.9,0,1,5,8,0.3,15.0,51,170,0,213,0,cloudy,37.4,0,0,0,0,1,0,0,0,27250.48,40,75.6,4906.0,18.4,569424.0,52221.0,0
2022-07-04,0,7,3,27,20,0,0,summer,3,13,613.71,47.21,85.65,0.0,0,0,208,6,110.47,613.71,cash,sale,1,returning,adult,M,129,3.3,69.8,2834.0,6.78,walk_in,premium,food,5,4,2,1,2,1,0,0,30.8,63.7,29.0,0,1,1,8,3.1,3.0,13,48,0,169,0,sunny,41.0,0,1,0,0,1,0,0,0,21257.4,33,62.3,5862.0,28.0,285794.0,5393.0,0
2022-07-04,0,7,3,27,17,0,0,summer,3,17,841.08,49.48,72.39,0.0,0,0,160,8,151.39,841.08,card,sale,1,loyal,young_adult,F,51,5.9,196.84,14133.0,3.72,friend,regular,food,5,6,1,1,0,1,2,1,35.3,61.2,22.1,0,7,3,8,0.1,9.0,25,299,0,330,0,sunny,40.5,0,0,0,0,1,0,0,0,7933.71,41,36.3,4415.0,21.9,664284.0,26197.0,0
2022-07-04,0,7,3,27,18,0,0,summer,3,17,436.16,25.66,63.96,0.0,0,0,189,4,78.51,436.16,upi,sale,1,returning,adult,M,122,3.4,,,2.7,search,regular,stationery,4,3,1,0,1,1,0,0,17.6,41.4,42.5,0,1,0,8,7.8,15.0,55,112,0,247,0,cloudy,37.3,0,0,0,0,1,0,0,0,19136.39,21,80.5,4361.0,32.0,513944.0,9628.0,0
2022-07-04,0,7,3,27,14,0,0,summer,3,8,550.33,68.79,77.21,0.0,0,0,0,5,99.06,550.33,cash,sale,1,new,young_adult,M,0,0.1,0.0,0.0,2.78,friend,budget,food,5,2,1,1,1,1,0,0,25.0,47.1,45.9,4,6,2,5,4.5,14.0,39,155,1,197,0,cloudy,31.3,0,0,0,0,1,0,0,0,12938.51,22,34.4,7516.0,26.4,575084.0,14052.0,0
2022-07-04,0,7,3,27,17,0,0,summer,3,11,342.06,31.1,75.45,34.6,1,0,0,3,61.57,223.88,card,sale,1,new,young_adult,F,0,0.0,,0.0,1.28,walk_in,regular,food,5,4,1,1,1,1,2,1,36.4,52.3,39.1,4,7,0,4,6.8,2.0,44,292,0,213,1,sunny,40.7,0,0,0,0,1,0,0,0,9191.24,33,27.1,5670.0,40.5,561091.0,25100.0,0
2022-07-04,0,7,3,27,12,0,0,summer,3,14,444.88,31.78,62.17,0.0,0,0,163,4,80.08,444.88,upi,sale,1,returning,adult,M,130,2.5,42.65,1322.0,5.72,walk_in,regular,food,5,3,1,1,0,1,1,0,21.4,25.3,55.6,2,2,1,7,5.8,0.0,61,225,1,219,0,rainy,36.0,0,0,0,0,1,0,0,0,9308.39,3,29.4,5800.0,18.7,679121.0,12576.0,0
2022-07-04,0,7,3,27,17,0,0,summer,3,17,629.93,37.05,40.35,0.0,0,0,196,6,113.39,629.93,cash,sale,1,loyal,young_adult,M,149,5.7,105.37,7313.0,6.6,walk_in,premium,food,5,6,2,1,2,1,2,1,35.3,67.5,25.7,4,6,1,3,8.9,13.0,22,284,0,223,0,sunny,34.9,0,0,0,0,1,0,0,0,18437.75,26,57.2,5691.0,29.8,719704.0,27787.0,1
2022-07-05,1,7,3,27,10,0,0,summer,4,15,2518.0,167.87,213.41,0.0,0,0,261,25,453.24,2518.0,card,sale,1,loyal,teen,F,168,9.3,65.17,7338.0,8.18,ad,regular,clothing,5,1,1,1,2,0,1,1,6.7,33.2,50.4,1,2,5,4,4.5,6.0,13,157,1,172,0,cloudy,30.8,0,0,0,0,1,0,1,0,21212.66,44,61.4,7099.0,29.0,226111.0,47393.0,1
2022-07-05,1,7,3,27,19,0,0,summer,4,14,5500.86,392.92,853.78,0.0,0,0,263,55,990.15,5500.86,upi,sale,1,returning,senior,M,107,1.4,80.62,1435.0,0.27,walk_in,regular,electronics,5,2,1,1,2,1,1,1,14.3,28.9,61.7,3,6,2,5,3.8,7.0,45,167,0,237,0,cloudy,39.4,0,0,0,0,1,0,0,0,19215.3,10,79.9,5073.0,14.8,648348.0,51373.0,1
2022-07-05,1,7,3,27,11,0,0,summer,4,6,480.12,80.02,103.55,15.7,1,0,488,4,86.42,404.76,upi,sale,0,loyal,senior,F,206,7.6,56.3,5191.0,4.64,friend,budget,food,5,7,1,0,2,1,2,0,100.0,34.6,55.3,1,5,0,7,3.3,6.0,55,152,0,269,0,rainy,41.6,0,0,0,0,1,0,0,1,5820.22,2,24.6,4522.0,41.7,228216.0,13345.0,1
2022-07-05,1,7,3,27,16,0,0,summer,4,8,271.93,33.99,36.37,30.2,1,0,84,2,48.95,189.7,card,sale,1,returning,teen,M,168,2.4,50.03,1491.0,3.95,walk_in,budget,stationery,5,3,1,1,4,0,1,1,37.5,22.6,70.4,1,5,1,6,9.2,9.0,18,259,0,226,0,rainy,36.9,0,0,0,0,1,1,0,0,17901.9,10,64.7,6016.0,18.0,402224.0,18783.0,0
2022-07-05,1,7,3,27,9,0,0,summer,4,14,1017.62,72.69,132.35,0.0,0,1,474,10,183.17,1017.62,card,sale,1,vip,adult,M,115,12.5,161.38,24369.0,4.93,social,premium,food,5,3,0,1,2,0,2,1,21.4,75.5,16.9,4,3,4,7,7.1,18.0,36,64,1,204,0,sunny,32.7,0,0,0,0,1,0,0,0,2864.3,16,13.2,7424.0,36.8,307981.0,47643.0,1
2022-07-06,2,7,3,27,10,0,0,summer,5,3,1032.27,344.09,859.5,12.6,1,0,0,10,185.81,902.53,upi,sale,1,new,young_adult,M,0,0.9,0.0,0.0,0.55,ad,premium,clothing,4,2,3,1,0,1,0,0,66.7,65.0,16.8,0,1,0,2,9.4,19.0,34,145,1,224,0,cloudy,34.4,1,0,0,0,1,0,0,0,8127.47,18,31.7,7545.0,42.1,677758.0,72265.0,1
2022-07-06,2,7,3,27,20,0,0,summer,5,3,299.39,99.8,156.59,34.6,1,0,466,2,53.89,195.95,upi,sale,1,returning,adult,F,30,3.9,37.34,1785.0,1.82,search,regular,food,3,1,0,1,0,0,0,1,33.3,47.7,45.0,2,7,0,4,0.5,14.0,57,229,0,185,0,sunny,34.5,0,0,0,0,1,0,0,0,17172.88,9,53.2,7248.0,19.7,305355.0,69457.0,0
2022-07-06,2,7,3,27,19,0,0,summer,5,14,2298.5,164.18,273.01,0.0,0,0,400,22,413.73,2298.5,card,sale,1,returning,senior,M,146,3.4,43.68,1826.0,7.94,friend,premium,home,3,1,2,0,0,4,0,0,7.1,58.8,24.4,1,5,1,5,6.2,10.0,22,60,0,259,0,rainy,37.3,0,1,0,0,1,0,0,0,16105.35,1,53.6,5465.0,38.6,440773.0,64456.0,0
2022-07-06,2,7,3,27,11,0,0,summer,5,17,1375.36,80.9,174.82,0.0,0,0,301,13,247.56,1375.36,upi,sale,1,returning,adult,F,123,3.4,28.25,1181.0,9.72,friend,regular,toys,5,2,0,1,0,1,1,1,11.8,76.5,18.3,0,0,3,8,2.2,12.0,41,230,0,186,1,rainy,39.8,1,0,0,0,1,0,1,0,6989.26,1,19.1,5907.0,38.1,448258.0,57662.0,0
2022-07-06,2,7,3,27,10,0,0,summer,5,8,798.79,99.85,189.53,7.3,1,0,0,7,143.78,740.19,upi,sale,1,new,adult,M,0,0.9,0.0,,3.05,walk_in,budget,clothing,5,1,2,1,2,1,1,0,12.5,52.7,39.1,0,4,0,5,9.7,6.0,16,257,0,162,0,cloudy,30.5,0,0,0,0,1,0,0,1,4507.7,47,15.3,5076.0,36.6,724052.0,23394.0,0
